ensid,entrezid,symbol,logFC,logCPM,F,PValue,FDR
ENSG00000136155,8796,SCEL,-2.08492329065308,6.63068162317346,1615.97272208171,9.16974224870316e-194,7.07789479821775e-192
ENSG00000088386,6564,SLC15A1,-2.41110318440916,6.26010395780632,1615.14726298816,1.05083628188375e-193,8.03936252821683e-192
ENSG00000185101,338440,ANO9,-1.01533435137297,6.83915458385589,1863.97192865525,1.55297390073504e-193,1.17767187472407e-191
ENSG00000170426,121214,SDR9C7,-2.66530564251984,6.28513829723011,1611.03662401035,2.07268310516823e-193,1.55811699514603e-191
ENSG00000118898,5493,PPL,-0.913554619636776,7.09241531160034,1738.97429591036,1.05296070487984e-192,7.84728042559157e-191
ENSG00000049283,55040,EPN3,-2.13140620046195,6.38270789308449,1593.36563819346,3.89451017491039e-192,2.87761029590601e-190
ENSG00000182795,79098,C1orf116,-1.14406787107514,6.74127917084173,1591.11049973699,5.67161055764871e-192,4.15517570092145e-190
ENSG00000158220,83850,ESYT3,-1.23848510229052,6.56357323169522,1589.19180012583,7.81135110643754e-192,5.67471683320609e-190
ENSG00000132185,84824,FCRLA,1.35926873608254,6.74629308983772,1586.35453635306,1.2546020244225e-191,9.03836208427707e-190
ENSG00000119411,54836,BSPRY,-1.21609192608304,6.58382892132404,1584.17913616358,1.80488153270778e-191,1.28952073142635e-189
ENSG00000081277,5317,PKP1,-1.52820406023406,7.00406295905437,1564.6357723477,6.45415791225837e-190,4.57345861897324e-188
ENSG00000167768,3848,KRT1,-2.4157367071457,6.94588747468823,1559.12373046521,1.63509817803475e-189,1.1492214430171e-187
ENSG00000167741,124975,GGT6,-2.63310865579488,6.33324571105781,1544.37770989261,1.4858881193217e-188,1.03592764447872e-186
ENSG00000139988,145226,RDH12,-1.12640532953447,6.677555806252,1543.32159383004,1.778374370618e-188,1.22992371471941e-186
ENSG00000158055,57822,GRHL3,-1.66192018163277,6.52737402004595,1541.76112020862,2.31948812906753e-188,1.59142657744355e-186
ENSG00000124143,343578,ARHGAP40,-2.33566301500169,6.28098860430067,1535.00030239785,7.34725858755617e-188,5.00134255822229e-186
ENSG00000169583,9022,CLIC3,-1.13011369395721,6.67664058084488,1515.03829157579,2.25486720838857e-186,1.52291617316556e-184
ENSG00000171346,3866,KRT15,-1.85385203117437,6.78212691481548,1513.01263333165,3.19692837097957e-186,2.14243765636577e-184
ENSG00000105427,84518,CNFN,-1.05809860451664,6.77311358003888,1511.08478012895,4.45808430008414e-186,2.96462605955595e-184
ENSG00000161249,93099,DMKN,-0.941312797597451,7.21950652856432,1509.19814391266,8.20029844294051e-186,5.41157099536036e-184
ENSG00000167644,64073,C19orf33,-1.76951580164753,6.45287065054213,1500.18063540599,2.93939771790659e-185,1.92508282358352e-183
ENSG00000172551,118430,MUCL1,-2.78783832875215,6.33813539586155,1499.27633171887,3.43845756009242e-185,2.23499741406008e-183
ENSG00000108244,25984,KRT23,-1.7821949543503,6.62397019972765,1495.37885116803,6.7639466117438e-185,4.36375510884516e-183
ENSG00000125780,7053,TGM3,-1.97938348937077,6.52665515173826,1494.41306705708,7.99998821387261e-185,5.1229554154762e-183
ENSG00000188910,2707,GJB3,-1.94222588107531,6.56058802874832,1493.33559366863,9.64815353089667e-185,6.13296229960307e-183
ENSG00000137699,23650,TRIM29,-1.87054876925864,6.88576207609924,1489.89006869468,1.75734427776279e-184,1.1089227212598e-182
ENSG00000141750,342667,STAC2,-1.48610156865141,6.61277610709868,1483.16795591408,5.6760619745506e-184,3.55576491086884e-182
ENSG00000188089,123745,PLA2G4E,-2.65993984167393,6.421801657822,1480.8201658896,8.55545631261743e-184,5.32100142608473e-182
ENSG00000169509,54544,CRCT1,-2.93999450028279,6.29619714948905,1474.10996265956,2.77051372317968e-183,1.71079222406345e-181
ENSG00000083307,79977,GRHL2,-2.44371526546949,6.34670601125191,1469.55168105576,6.16714281804306e-183,3.78120210368668e-181
ENSG00000167748,3816,KLK1,-1.32487176666947,6.52844917178333,1469.21253801738,6.54588346346954e-183,3.9851522916686e-181
ENSG00000052344,5652,PRSS8,-1.72903179560221,6.58943240763988,1466.89242507249,9.8434957328008e-183,5.9508406021023e-181
ENSG00000133710,11005,SPINK5,-1.3957871457569,6.85193817225908,1466.43769921945,1.06634300458051e-182,6.40176060736006e-181
ENSG00000187583,84069,PLEKHN1,-1.05297063917091,6.67567765065715,1817.70557800906,1.4508140876008e-181,8.64985364641991e-180
ENSG00000144452,26154,ABCA12,-1.84034024493894,6.53908811484434,1448.08661065957,2.72929094887354e-181,1.61607672965834e-179
ENSG00000154227,204219,CERS3,-2.02733089625552,6.47666772796887,1429.14309147753,7.97643025297189e-180,4.69090064877156e-178
ENSG00000163331,92196,DAPL1,-1.4078255254964,6.58998141708877,1428.8147091259,8.45916027796751e-180,4.94117841912359e-178
ENSG00000188505,342897,NCCRP1,-1.30017433799147,6.8275505937309,1428.58580423463,8.81287775199454e-180,5.09206222006812e-178
ENSG00000167880,2125,EVPL,-1.54295267038259,6.83493702276791,1428.57162311346,8.83527279364046e-180,5.09206222006812e-178
ENSG00000078114,10529,NEBL,-1.03272774434354,6.70935721197804,1796.36669269802,9.07108112061245e-180,5.19334412501289e-178
ENSG00000095203,54566,EPB41L4B,-1.21551885004966,6.58148293701789,1416.90378859938,7.16946089388898e-179,4.07763088339936e-177
ENSG00000100170,6523,SLC5A1,-2.14011719789422,6.33091984842243,1413.47938174791,1.32818808331983e-178,7.50469671915029e-177
ENSG00000165272,360,AQP3,-0.892338635670772,7.05476191510048,1828.06005422889,1.58528889653561e-178,8.89923539646126e-177
ENSG00000135480,3855,KRT7,-1.30542423433313,6.60850569049882,1412.03603562715,1.72284897351936e-178,9.60905121037088e-177
ENSG00000133477,113828,FAM83F,-1.70086266107719,6.55032441556953,1409.86520404711,2.5487250908983e-178,1.41241848787281e-176
ENSG00000170786,195814,SDR16C5,-2.19457562461772,6.39784791519838,1408.61137484648,3.19618391124431e-178,1.7599369371151e-176
ENSG00000264230,728113,ANXA8L1,-2.11181656274589,6.54688799873154,1408.26097474367,3.40498756167536e-178,1.86304540953693e-176
ENSG00000138271,53836,GPR87,-2.62199308393437,6.22091140277455,1380.58905693067,5.20600119139934e-176,2.83055850941178e-174
ENSG00000188508,388533,KRTDAP,-2.42960187364581,6.68008510981268,1367.02281714332,6.27460962769081e-175,3.39025001446169e-173
ENSG00000159337,283748,PLA2G4D,-2.58083137123251,6.2509171538601,1359.62567417502,2.45427307279783e-174,1.31783793256753e-172
ENSG00000221867,4102,MAGEA3,4.32430573525258,6.23271074292459,1355.98833067446,4.8076736380103e-174,2.5655764568271e-172
ENSG00000167914,284110,GSDMA,-1.34987502981964,6.59800621462313,1352.58600356969,9.02666417317299e-174,4.78745471025034e-172
ENSG00000167757,11012,KLK11,-2.57376053448308,6.46623614029526,1351.96855991442,1.01210242605735e-173,5.33513748369863e-172
ENSG00000172548,348938,NIPAL4,-1.39214632907663,6.66849720653739,1349.65343841764,1.55486554080915e-173,8.14655309108792e-172
ENSG00000136002,50649,ARHGEF4,-1.05432913527127,6.8233588426181,1347.39010571006,2.366926765256e-173,1.2326555352794e-171
ENSG00000132698,57111,RAB25,-1.9643575402039,6.53929028070858,1345.74868291456,3.21109470812125e-173,1.66227028453343e-171
ENSG00000184363,11187,PKP3,-1.3410050964793,6.83685040252668,1344.54686085888,4.01521355096151e-173,2.06616197309894e-171
ENSG00000170423,196374,KRT78,-2.47226780063997,6.43272726018031,1341.51695930005,7.0572709446904e-173,3.61006552170701e-171
ENSG00000168143,222584,FAM83B,-2.38472387985464,6.27449493826991,1339.23931395097,1.07890651836744e-172,5.48655697134499e-171
ENSG00000204539,1041,CDSN,-2.72470382085294,6.63050414959979,1337.10318047228,1.60714940849409e-172,8.12503312072014e-171
ENSG00000134760,1828,DSG1,-2.38125886314719,6.67922269290545,1335.66330182097,2.10288309394077e-172,1.05694327599523e-170
ENSG00000230937,642587,MIR205HG,-2.63933280988154,6.38495849692257,1327.2929598304,1.00723082810399e-171,5.03324306876242e-170
ENSG00000178372,51806,CALML5,-2.63556962791203,6.67763030283571,1321.49184658004,2.99365636378831e-171,1.48736547499712e-169
